Field_Name,Tooltip,Field_Type,Needs_Review,Review_Reasons,Matched_Rules,Match_Explanations,Domains,Persona,Biographical_Subcategories,Part,Part_Num,Line,Subline,Base_Field_Type,Position
AttorneyStateBarNumber[0],"To be completed by an attorney or accredited representative, if any. Enter Attorney State Bar Number, if applicable.",Tx,False,,,,"[('office', 2.0)]","[('preparer', 2.0)]",[],Office,,,,AttorneyStateBarNumber,0
CheckBox1[0],"To be completed by an attorney or accredited representative, if any. Select this box if Form G - 28 is attached.",Btn,False,,boolean(2.00),Field type is button/checkbox,[],"[('preparer', 1.5)]",[],,,,,CheckBox1,0
P4Line5a_FamilyName[0],"Part 4. Information About Beneficiary. Other Names Used, if any. Provide all other names the beneficiary has ever used, including aliases, maiden name, and nicknames. 5. A. Enter Family Name (Last Name).",Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 2.0)]","[('core_identity', 1.8)]",Part 4,4,Line 5,a,FamilyName,0
P5_Line6a_SignatureofApplicant[0],"Part 6. Petitioner's Statement, Contact Information, Declaration, and Signature. Petitioner's Signature. 6. A. Petitioner's Signature. This signature field can not be signed with a digital signature and the signee's name can not be typewritten into this space. This is a protected field. Print and sign in ink.",Tx,False,,,,"[('biographical', 0.3)]","[('applicant', 1.6)]","[('core_identity', 1.8), ('contact_info', 1.6)]",Part 5,5,Line 6,a,SignatureofApplicant,0
PDF417BarCode1[0],PDF417BarCode1,Tx,True,No persona identified,,,"[('office', 2.0), ('office', 0.6)]",[],[],BarCode 1,1,,,BarCode,0
Part4Line1_No[0],Part 5. Other Information. 1. Have you EVER previously filed a petition for this beneficiary or any other alien? Select No.,Btn,False,,boolean(2.00),Field type is button/checkbox,"[('biographical', 0.3), ('immigration', 0.3)]","[('applicant', 2.0)]",[],Part 4,4,Line 1,,No,0
Part4Line1_Yes[0],Part 5. Other Information. 1. Have you EVER previously filed a petition for this beneficiary or any other alien? Select Yes.,Btn,False,,boolean(2.00),Field type is button/checkbox,"[('biographical', 0.3), ('immigration', 0.3)]","[('applicant', 2.0)]",[],Part 4,4,Line 1,,Yes,0
Pt1Line1_Child[0],Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 1. I am filing this petition for my (Select only one box). Select Child.,Btn,False,,boolean(2.00),Field type is button/checkbox,[],"[('applicant', 2.0), ('family', 1.8)]",[],Part 1,1,Line 1,,Child,0
Pt1Line1_Parent[0],Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 1. I am filing this petition for my (Select only one box). Select Parent.,Btn,False,,boolean(2.00),Field type is button/checkbox,[],"[('applicant', 2.0), ('family', 1.8)]",[],Part 1,1,Line 1,,Parent,0
Pt1Line1_Siblings[0],Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 1. I am filing this petition for my (Select only one box). Select Brother / Sister.,Btn,False,,boolean(2.00),Field type is button/checkbox,[],"[('applicant', 2.0), ('family', 1.8)]",[],Part 1,1,Line 1,,Siblings,0
Pt1Line1_Spouse[0],Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 1. I am filing this petition for my (Select only one box). Select Spouse.,Btn,False,,boolean(2.00),Field type is button/checkbox,[],"[('applicant', 2.0), ('family', 1.8)]",[],Part 1,1,Line 1,,Spouse,0
Pt1Line2_AdoptedChild[0],"Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 2. If you are filing this petition for your child or parent, select the box that describes your relationship (Select only one box). Select Child was adopted (not an Orphan or Hague Convention adoptee).",Btn,False,,boolean(2.00),Field type is button/checkbox,[],"[('applicant', 2.0), ('family', 1.8)]",[],Part 1,1,Line 2,,AdoptedChild,0
Pt1Line2_InWedlock[0],"Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 2. If you are filing this petition for your child or parent, select the box that describes your relationship (Select only one box). Select Child was born to parents who were married to each other at the time of the child's birth.",Btn,False,,boolean(2.00),Field type is button/checkbox,[],"[('applicant', 2.0), ('family', 1.8)]",[],Part 1,1,Line 2,,InWedlock,0
Pt1Line2_OutOfWedlock[0],"Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 2. If you are filing this petition for your child or parent, select the box that describes your relationship (Select only one box). Select Child was born to parents who were not married to each other at the time of the child's birth.",Btn,False,,boolean(2.00),Field type is button/checkbox,[],"[('applicant', 2.0), ('family', 1.8)]",[],Part 1,1,Line 2,,OutOfWedlock,0
Pt1Line2_Stepchild[0],"Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 2. If you are filing this petition for your child or parent, select the box that describes your relationship (Select only one box). Select Stepchild / Stepparent.",Btn,False,,boolean(2.00),Field type is button/checkbox,[],"[('applicant', 2.0), ('family', 1.8)]",[],Part 1,1,Line 2,,Stepchild,0
Pt1Line3_No[0],"Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 3. If the beneficiary is your brother / sister, are you related by adoption? Select No.",Btn,False,,boolean(2.00),Field type is button/checkbox,[],"[('applicant', 2.0), ('family', 1.8)]",[],Part 1,1,Line 3,,No,0
