Field_Name,Tooltip,Field_Type,Needs_Review,Confidence,Part,Part_Num,Line,Subline,Base_Field_Type,Position,Domains,Personas,Biographical_Subcategories
AttorneyStateBarNumber[0],"To be completed by an attorney or accredited representative, if any. Enter Attorney State Bar Number, if applicable.",AttorneyStateBarNumber,False,2.0,Office,,,,AttorneyStateBarNumber,0,office(2.0),preparer(2.0),contact_info(1.6)
CheckBox1[0],"To be completed by an attorney or accredited representative, if any. Select this box if Form G - 28 is attached.",CheckBox1,False,2.0,,,,,CheckBox1,0,office(2.0),preparer(1.5),unknown(0.0)
P4Line5a_FamilyName[0],"Part 4. Information About Beneficiary. Other Names Used, if any. Provide all other names the beneficiary has ever used, including aliases, maiden name, and nicknames. 5. A. Enter Family Name (Last Name).",FamilyName,False,1.8,Part 4,4,Line 5,a,FamilyName,0,biographical(1.8),applicant(2.0),core_identity(1.8)
P5_Line6a_SignatureofApplicant[0],"Part 6. Petitioner's Statement, Contact Information, Declaration, and Signature. Petitioner's Signature. 6. A. Petitioner's Signature. This signature field can not be signed with a digital signature and the signee's name can not be typewritten into this space. This is a protected field. Print and sign in ink.",SignatureofApplicant,False,2.0,Part 5,5,Line 6,a,SignatureofApplicant,0,biographical(1.8); office(2.0),applicant(2.0),core_identity(1.8); contact_info(1.6)
PDF417BarCode1[0],PDF417BarCode1,BarCode,False,2.0,BarCode 1,1,,,BarCode,0,office(2.0),unknown(0.0),unknown(0.0)
Part4Line1_No[0],Part 5. Other Information. 1. Have you EVER previously filed a petition for this beneficiary or any other alien? Select No.,No,False,1.8,Part 4,4,Line 1,,No,0,immigration(1.8),applicant(2.0),unknown(0.0)
Part4Line1_Yes[0],Part 5. Other Information. 1. Have you EVER previously filed a petition for this beneficiary or any other alien? Select Yes.,Yes,False,1.8,Part 4,4,Line 1,,Yes,0,immigration(1.8),applicant(2.0),unknown(0.0)
Pt1Line1_Child[0],Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 1. I am filing this petition for my (Select only one box). Select Child.,Child,False,0.0,Part 1,1,Line 1,,Child,0,unknown(0.0),applicant(2.0); family(1.8),family_info(1.8)
Pt1Line1_Parent[0],Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 1. I am filing this petition for my (Select only one box). Select Parent.,Parent,False,0.0,Part 1,1,Line 1,,Parent,0,unknown(0.0),applicant(2.0); family(1.8),family_info(1.8)
Pt1Line1_Siblings[0],Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 1. I am filing this petition for my (Select only one box). Select Brother / Sister.,Siblings,False,0.0,Part 1,1,Line 1,,Siblings,0,unknown(0.0),applicant(2.0); family(1.8),family_info(1.8)
Pt1Line1_Spouse[0],Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 1. I am filing this petition for my (Select only one box). Select Spouse.,Spouse,False,0.0,Part 1,1,Line 1,,Spouse,0,unknown(0.0),applicant(2.0); family(1.8),family_info(1.8); marital_status(1.8)
Pt1Line2_AdoptedChild[0],"Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 2. If you are filing this petition for your child or parent, select the box that describes your relationship (Select only one box). Select Child was adopted (not an Orphan or Hague Convention adoptee).",AdoptedChild,False,0.0,Part 1,1,Line 2,,AdoptedChild,0,unknown(0.0),applicant(2.0); family(1.8),family_info(1.8)
Pt1Line2_InWedlock[0],"Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 2. If you are filing this petition for your child or parent, select the box that describes your relationship (Select only one box). Select Child was born to parents who were married to each other at the time of the child's birth.",InWedlock,False,1.8,Part 1,1,Line 2,,InWedlock,0,biographical(1.8),applicant(2.0); family(1.8),core_identity(1.8); family_info(1.8); marital_status(1.8)
Pt1Line2_OutOfWedlock[0],"Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 2. If you are filing this petition for your child or parent, select the box that describes your relationship (Select only one box). Select Child was born to parents who were not married to each other at the time of the child's birth.",OutOfWedlock,False,1.8,Part 1,1,Line 2,,OutOfWedlock,0,biographical(1.8),applicant(2.0); family(1.8),core_identity(1.8); family_info(1.8); marital_status(1.8)
Pt1Line2_Stepchild[0],"Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 2. If you are filing this petition for your child or parent, select the box that describes your relationship (Select only one box). Select Stepchild / Stepparent.",Stepchild,False,0.0,Part 1,1,Line 2,,Stepchild,0,unknown(0.0),applicant(2.0); family(1.8),family_info(1.8)
Pt1Line3_No[0],"Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 3. If the beneficiary is your brother / sister, are you related by adoption? Select No.",No,False,0.0,Part 1,1,Line 3,,No,0,unknown(0.0),applicant(2.0); family(1.8),unknown(0.0)
Pt1Line3_Yes[0],"Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 3. If the beneficiary is your brother / sister, are you related by adoption? Select Yes.",Yes,False,0.0,Part 1,1,Line 3,,Yes,0,unknown(0.0),applicant(2.0); family(1.8),unknown(0.0)
Pt1Line4_No[0],Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 4. Did you gain lawful permanent resident status or citizenship through adoption? Select No.,No,False,1.8,Part 1,1,Line 4,,No,0,immigration(1.8),applicant(2.0); family(1.8),unknown(0.0)
Pt1Line4_Yes[0],Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 4. Did you gain lawful permanent resident status or citizenship through adoption? Select Yes.,Yes,False,1.8,Part 1,1,Line 4,,Yes,0,immigration(1.8),applicant(2.0); family(1.8),unknown(0.0)
Pt2Line10_AptSteFlrNumber[0],"Part 2. Information About You (Petitioner). Mailing Address. 10. C. Enter Apartment, Suite or Floor Number.",AptSteFlrNumber,False,1.8,Part 2,2,Line 10,,AptSteFlrNumber,0,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line10_CityOrTown[0],Part 2. Information About You (Petitioner). Mailing Address. 10. D. Enter City or Town.,CityOrTown,False,1.8,Part 2,2,Line 10,,CityOrTown,0,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line10_Country[0],Part 2. Information About You (Petitioner). Mailing Address. 10. I. Enter Country.,Country,False,1.8,Part 2,2,Line 10,,Country,0,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line10_InCareofName[0],Part 2. Information About You (Petitioner). Mailing Address. 10. A. Enter In Care Of Name.,InCareofName,False,1.8,Part 2,2,Line 10,,InCareofName,0,biographical(1.8),applicant(2.0),core_identity(1.8); contact_info(1.6)
Pt2Line10_PostalCode[0],Part 2. Information About You (Petitioner). Mailing Address. 10. H. Enter Postal Code.,PostalCode,False,1.8,Part 2,2,Line 10,,PostalCode,0,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line10_Province[0],Part 2. Information About You (Petitioner). Mailing Address. 10. G. Enter Province.,Province,False,1.8,Part 2,2,Line 10,,Province,0,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line10_State[0],Part 2. Information About You (Petitioner). Mailing Address. 10. E. Select State from List of States.,State,False,1.8,Part 2,2,Line 10,,State,0,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line10_StreetNumberName[0],Part 2. Information About You (Petitioner). Mailing Address. 10. B. Enter Street Number and Name.,StreetNumberName,False,1.8,Part 2,2,Line 10,,StreetNumberName,0,biographical(1.8),applicant(2.0),core_identity(1.8); contact_info(1.6)
Pt2Line10_Unit[0],Part 2. Information About You (Petitioner). Mailing Address. 10. C. Select Apartment.,Unit,False,1.8,Part 2,2,Line 10,,Unit,0,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line10_Unit[1],Part 2. Information About You (Petitioner). Mailing Address. 10. C. Select Suite.,Unit,False,1.8,Part 2,2,Line 10,,Unit,1,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line10_Unit[2],Part 2. Information About You (Petitioner). Mailing Address. 10. C. Select Floor.,Unit,False,1.8,Part 2,2,Line 10,,Unit,2,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line10_ZipCode[0],Part 2. Information About You (Petitioner). Mailing Address. 10. F. Enter Zip Code.,ZipCode,False,1.8,Part 2,2,Line 10,,ZipCode,0,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line11_No[0],"Part 2. Information About You (Petitioner). Mailing Address. 11. Is your current mailing address the same as your physical address? Select No. If you answered ""No"" to Item Number 11., provide information on your physical address in Item Numbers 12. A. through 13. B.",No,False,1.8,Part 2,2,Line 11,,No,0,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line11_SSN[0],"Part 2. Information About You (Petitioner). 3. Enter U.S. Social Security Number, if any.",SSN,False,0.0,Part 2,2,Line 11,,SSN,0,unknown(0.0),applicant(2.0),core_identity(1.8)
Pt2Line11_Yes[0],Part 2. Information About You (Petitioner). Mailing Address. 11. Is your current mailing address the same as your physical address? Select Yes.,Yes,False,1.8,Part 2,2,Line 11,,Yes,0,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line12_AptSteFlrNumber[0],"Part 2. Information About You (Petitioner). Address History. Physical Address 1. 12. B. Enter Apartment, Suite or Floor Number.",AptSteFlrNumber,False,1.8,Part 2,2,Line 12,,AptSteFlrNumber,0,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line12_CityOrTown[0],Part 2. Information About You (Petitioner). Address History. Physical Address 1. 12. C. Enter City or Town.,CityOrTown,False,1.8,Part 2,2,Line 12,,CityOrTown,0,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line12_Country[0],Part 2. Information About You (Petitioner). Address History. Physical Address 1. 12. H. Enter Country.,Country,False,1.8,Part 2,2,Line 12,,Country,0,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line12_PostalCode[0],Part 2. Information About You (Petitioner). Address History. Physical Address 1. 12. G. Enter Postal Code.,PostalCode,False,1.8,Part 2,2,Line 12,,PostalCode,0,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line12_Province[0],Part 2. Information About You (Petitioner). Address History. Physical Address 1. 12. F. Enter Province.,Province,False,1.8,Part 2,2,Line 12,,Province,0,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line12_State[0],Part 2. Information About You (Petitioner). Address History. Physical Address 1. 12. D. Select State from List of States.,State,False,1.8,Part 2,2,Line 12,,State,0,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line12_StreetNumberName[0],"Part 2. Information About You (Petitioner). Address History. Provide your physical addresses for the last five years, whether inside or outside the United States. Provide your current address first if it is different from your mailing address in Item Numbers 10. A. through 10. I. Physical Address 1. 12. A. Enter Street Number and Name.",StreetNumberName,False,1.8,Part 2,2,Line 12,,StreetNumberName,0,biographical(1.8),applicant(2.0),core_identity(1.8); contact_info(1.6)
Pt2Line12_Unit[0],Part 2. Information About You (Petitioner). Address History. Physical Address 1. 12. B. Select Apartment.,Unit,False,1.8,Part 2,2,Line 12,,Unit,0,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line12_Unit[1],Part 2. Information About You (Petitioner). Address History. Physical Address 1. 12. B. Select Suite.,Unit,False,1.8,Part 2,2,Line 12,,Unit,1,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line12_Unit[2],Part 2. Information About You (Petitioner). Address History. Physical Address 1. 12. B. Select Floor.,Unit,False,1.8,Part 2,2,Line 12,,Unit,2,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line12_ZipCode[0],Part 2. Information About You (Petitioner). Address History. Physical Address 1. 12. E. Enter Zip Code.,ZipCode,False,1.8,Part 2,2,Line 12,,ZipCode,0,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line13a_DateFrom[0],"Part 2. Information About You (Petitioner). Address History. Physical Address 1. 13. A. Enter Date From. Enter as 2 digit month, 2 digit day and 4 digit year.",DateFrom,False,1.8,Part 2,2,Line 13,a,DateFrom,0,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line13b_DateTo[0],Part 2. Information About You (Petitioner). Address History. Physical Address 1. 13. B. Date To. Present. No Entry.,DateTo,False,1.8,Part 2,2,Line 13,b,DateTo,0,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line14_AptSteFlrNumber[0],"Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. B. Enter Apartment, Suite or Floor Number.",AptSteFlrNumber,False,1.8,Part 2,2,Line 14,,AptSteFlrNumber,0,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line14_CityOrTown[0],Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. C. Enter City or Town.,CityOrTown,False,1.8,Part 2,2,Line 14,,CityOrTown,0,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line14_Country[0],Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. H. Enter Country.,Country,False,1.8,Part 2,2,Line 14,,Country,0,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line14_PostalCode[0],Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. G. Enter Postal Code.,PostalCode,False,1.8,Part 2,2,Line 14,,PostalCode,0,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line14_Province[0],Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. F. Enter Province.,Province,False,1.8,Part 2,2,Line 14,,Province,0,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line14_State[0],Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. D. Select State from List of States.,State,False,1.8,Part 2,2,Line 14,,State,0,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line14_StreetNumberName[0],Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. A. Enter Street Number and Name.,StreetNumberName,False,1.8,Part 2,2,Line 14,,StreetNumberName,0,biographical(1.8),applicant(2.0),core_identity(1.8); contact_info(1.6)
Pt2Line14_Unit[0],Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. B. Select Apartment.,Unit,False,1.8,Part 2,2,Line 14,,Unit,0,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line14_Unit[1],Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. B. Select Suite.,Unit,False,1.8,Part 2,2,Line 14,,Unit,1,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line14_Unit[2],Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. B. Select Floor.,Unit,False,1.8,Part 2,2,Line 14,,Unit,2,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line14_ZipCode[0],Part 2. Information About You (Petitioner). Address History. Physical Address 2. 14. E. Enter Zip Code.,ZipCode,False,1.8,Part 2,2,Line 14,,ZipCode,0,biographical(1.8),applicant(2.0),contact_info(1.6)
Pt2Line15a_DateFrom[0],"Part 2. Information About You (Petitioner). Address History. Physical Address 2. 15. A. Enter Date From. Enter as 2 digit month, 2 digit day and 4 digit year.",DateFrom,False,1.8,Part 2,2,Line 15,a,DateFrom,0,biographical(1.8),applicant(2.0),contact_info(1.6)
