field_name,form,type,readonly,required,page,has_parent,has_children
PDF417BarCode1[0],i485.pdf,/Tx,True,False,None,True,False
Page1[0],i485.pdf,None,False,False,None,True,True
Page1[1],i485.pdf,None,False,False,None,True,True
Page1[2],i485.pdf,None,False,False,None,True,True
Page1[3],i485.pdf,None,False,False,None,True,True
Page1[4],i485.pdf,None,False,False,None,True,True
Page1[5],i485.pdf,None,False,False,None,True,True
Page1[6],i485.pdf,None,False,False,None,True,True
Page1[7],i485.pdf,None,False,False,None,True,True
Page1[8],i485.pdf,None,False,False,None,True,True
Page1[9],i485.pdf,None,False,False,None,True,True
Page1[10],i485.pdf,None,False,False,None,True,True
Page1[11],i485.pdf,None,False,False,None,True,True
Page1[12],i485.pdf,None,False,False,None,True,True
Page1[13],i485.pdf,None,False,False,None,True,True
Page1[14],i485.pdf,None,False,False,None,True,True
Page1[15],i485.pdf,None,False,False,None,True,True
Page1[16],i485.pdf,None,False,False,None,True,True
Page1[17],i485.pdf,None,False,False,None,True,True
Page1[18],i485.pdf,None,False,False,None,True,True
Page1[19],i485.pdf,None,False,False,None,True,True
#pageSet[0],i485.pdf,None,False,False,None,True,True
Pt1Line1a_FamilyName[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line1b_GivenName[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line1c_MiddleName[0],i485.pdf,/Tx,False,False,None,True,False
AttorneyStateBarNumber[0],i485.pdf,/Tx,False,False,None,True,False
CheckBox1[0],i485.pdf,/Btn,False,False,None,True,False
VolagNumber[0],i485.pdf,/Tx,False,False,None,True,False
USCISOnlineAcctNumber[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line10_AlienNumber[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line2a_FamilyName[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line2b_GivenName[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line2c_MiddleName[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line3a_FamilyName[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line3b_GivenName[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line3c_MiddleName[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line5_DateofBirth[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line6_Gender[0],i485.pdf,/Btn,False,False,None,True,False
Pt1Line6_Gender[1],i485.pdf,/Btn,False,False,None,True,False
Pt1Line4a_FamilyName[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line4b_GivenName[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line4c_MiddleName[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line6_CityOrTown[0],i485.pdf,/Tx,False,False,None,True,False
#subform[0],i485.pdf,None,False,False,None,True,True
Pt1Line10_AlienNumber[1],i485.pdf,/Tx,True,False,None,True,False
Pt1Line8_CountryofBirth[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line9_CountryofCitizenship[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line12_StreetNumberName[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line12_Unit[0],i485.pdf,/Btn,False,False,None,True,False
Pt1Line12_Unit[1],i485.pdf,/Btn,False,False,None,True,False
Pt1Line12_AptSteFlrNumber[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line12_Unit[2],i485.pdf,/Btn,False,False,None,True,False
Pt1Line12_CityOrTown[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line12_ZipCode[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line12_State[0],i485.pdf,/Ch,False,False,None,True,False
Pt1Line12_InCareofName[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line11_USCISELISAcctNumber[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line13_StreetNumberName[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line13_Unit[0],i485.pdf,/Btn,False,False,None,True,False
Pt1Line13_Unit[1],i485.pdf,/Btn,False,False,None,True,False
Pt1Line13_AptSteFlrNumber[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line13_Unit[2],i485.pdf,/Btn,False,False,None,True,False
Pt1Line13_CityOrTown[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line13_ZipCode[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line13_State[0],i485.pdf,/Ch,False,False,None,True,False
Pt1Line13_InCareofName[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line10_AlienNumber[2],i485.pdf,/Tx,False,False,None,True,False
Pt1Line14_YN[0],i485.pdf,/Btn,False,False,None,True,False
Pt1Line14_YN[1],i485.pdf,/Btn,False,False,None,True,False
Pt1Line15_SSN[0],i485.pdf,/Tx,False,False,None,True,False
Pt1Line16_YN[0],i485.pdf,/Btn,False,False,None,True,False
Pt1Line16_YN[1],i485.pdf,/Btn,False,False,None,True,False
