Form,Field Name,Type,Parent,Persona,Domain,Value Type,Value,Has Tooltip
i130.pdf,PDF417BarCode1[0],/Tx,Page1[11],applicant,office,,,No
i130.pdf,Pt2Line11_SSN[0],/Tx,#subform[0],applicant,personal,,,No
i130.pdf,CheckBox1[0],/Btn,#subform[0],applicant,office,selection,this box if Form G - 28 is attached,No
i130.pdf,VolagNumber[0],/Tx,#subform[0],applicant,office,,,No
i130.pdf,AttorneyStateBarNumber[0],/Tx,#subform[0],attorney,office,,,No
i130.pdf,USCISOnlineAcctNumber[0],/Tx,#subform[0],family_member,office,,,No
i130.pdf,Pt1Line1_Spouse[0],/Btn,#subform[0],family_member,office,selection,Spouse,No
i130.pdf,Pt1Line1_Siblings[0],/Btn,#subform[0],family_member,office,selection,Siblings,No
i130.pdf,Pt1Line1_Parent[0],/Btn,#subform[0],family_member,office,selection,Parent,No
i130.pdf,Pt1Line1_Child[0],/Btn,#subform[0],family_member,office,selection,Child,No
i130.pdf,Pt1Line2_InWedlock[0],/Btn,#subform[0],applicant,office,selection,InWedlock,No
i130.pdf,Pt1Line2_AdoptedChild[0],/Btn,#subform[0],family_member,office,selection,AdoptedChild,No
i130.pdf,Pt1Line2_Stepchild[0],/Btn,#subform[0],family_member,office,selection,Stepchild,No
i130.pdf,Pt1Line2_OutOfWedlock[0],/Btn,#subform[0],applicant,office,selection,OutOfWedlock,No
i130.pdf,Pt1Line3_Yes[0],/Btn,#subform[0],applicant,office,boolean,True,No
i130.pdf,Pt1Line4_No[0],/Btn,#subform[0],applicant,criminal,selection,No,No
i130.pdf,Pt1Line4_Yes[0],/Btn,#subform[0],applicant,criminal,boolean,True,No
i130.pdf,Pt1Line3_No[0],/Btn,#subform[0],applicant,office,selection,No,No
i130.pdf,Pt2Line4a_FamilyName[0],/Tx,#subform[0],applicant,personal,,,No
i130.pdf,Pt2Line4b_GivenName[0],/Tx,#subform[0],applicant,personal,,,No
i130.pdf,Pt2Line4c_MiddleName[0],/Tx,#subform[0],applicant,personal,,,No
i130.pdf,Pt2Line1_AlienNumber[0],/Tx,#area[4],applicant,immigration,,,No
i130.pdf,Pt2Line2_USCISOnlineActNumber[0],/Tx,#area[5],family_member,office,,,No
i130.pdf,Pt2Line8_DateofBirth[0],/Tx,#subform[1],applicant,personal,,,No
i130.pdf,Pt2Line9_Male[0],/Btn,#subform[1],applicant,personal,selection,Male,No
i130.pdf,Pt2Line9_Female[0],/Btn,#subform[1],applicant,personal,selection,Female,No
i130.pdf,Pt2Line7_CountryofBirth[0],/Tx,#subform[1],applicant,personal,,,No
i130.pdf,Pt2Line11_Yes[0],/Btn,#subform[1],applicant,medical,boolean,True,No
i130.pdf,Pt2Line11_No[0],/Btn,#subform[1],applicant,medical,boolean,False,No
i130.pdf,Pt2Line10_StreetNumberName[0],/Tx,#subform[1],applicant,office,,,No
i130.pdf,Pt2Line10_Unit[0],/Btn,#subform[1],applicant,office,selection,Unit,No
i130.pdf,Pt2Line10_Unit[1],/Btn,#subform[1],applicant,office,selection,Unit,No
i130.pdf,Pt2Line10_Unit[2],/Btn,#subform[1],applicant,office,selection,Unit,No
i130.pdf,Pt2Line10_AptSteFlrNumber[0],/Tx,#subform[1],applicant,office,,,No
i130.pdf,Pt2Line10_CityOrTown[0],/Tx,#subform[1],applicant,office,,,No
i130.pdf,Pt2Line10_Province[0],/Tx,#subform[1],applicant,office,,,No
i130.pdf,Pt2Line10_PostalCode[0],/Tx,#subform[1],applicant,office,,,No
i130.pdf,Pt2Line10_ZipCode[0],/Tx,#subform[1],applicant,office,,,No
i130.pdf,Pt2Line10_State[0],/Ch,#subform[1],applicant,office,,,No
i130.pdf,Pt2Line10_Country[0],/Tx,#subform[1],applicant,immigration,,,No
i130.pdf,Pt2Line10_InCareofName[0],/Tx,#subform[1],applicant,office,,,No
i130.pdf,Pt2Line14_StreetNumberName[0],/Tx,#subform[1],applicant,medical,,,No
i130.pdf,Pt2Line14_Unit[0],/Btn,#subform[1],applicant,medical,selection,Unit,No
i130.pdf,Pt2Line14_Unit[1],/Btn,#subform[1],applicant,medical,selection,Unit,No
i130.pdf,Pt2Line14_Unit[2],/Btn,#subform[1],applicant,medical,selection,Unit,No
i130.pdf,Pt2Line14_AptSteFlrNumber[0],/Tx,#subform[1],applicant,medical,,,No
i130.pdf,Pt2Line14_CityOrTown[0],/Tx,#subform[1],applicant,medical,,,No
i130.pdf,Pt2Line14_State[0],/Ch,#subform[1],applicant,medical,,,No
i130.pdf,Pt2Line14_ZipCode[0],/Tx,#subform[1],applicant,medical,,,No
i130.pdf,Pt2Line14_Province[0],/Tx,#subform[1],applicant,medical,,,No
i130.pdf,Pt2Line14_Country[0],/Tx,#subform[1],applicant,medical,,,No
i130.pdf,Pt2Line14_PostalCode[0],/Tx,#subform[1],applicant,medical,,,No
i130.pdf,Pt2Line13a_DateFrom[0],/Tx,#subform[1],applicant,medical,,,No
i130.pdf,Pt2Line15a_DateFrom[0],/Tx,#subform[1],applicant,medical,,,No
i130.pdf,Pt2Line15b_DateTo[0],/Tx,#subform[1],applicant,medical,,,No
i130.pdf,Pt2Line12_StreetNumberName[0],/Tx,#subform[1],applicant,medical,,,No
i130.pdf,Pt2Line12_Unit[0],/Btn,#subform[1],applicant,medical,selection,Unit,No
i130.pdf,Pt2Line12_Unit[1],/Btn,#subform[1],applicant,medical,selection,Unit,No
i130.pdf,Pt2Line12_Unit[2],/Btn,#subform[1],applicant,medical,selection,Unit,No
i130.pdf,Pt2Line12_AptSteFlrNumber[0],/Tx,#subform[1],applicant,medical,,,No
i130.pdf,Pt2Line12_CityOrTown[0],/Tx,#subform[1],applicant,medical,,,No
i130.pdf,Pt2Line12_State[0],/Ch,#subform[1],applicant,medical,,,No
i130.pdf,Pt2Line12_ZipCode[0],/Tx,#subform[1],applicant,medical,,,No
i130.pdf,Pt2Line12_Province[0],/Tx,#subform[1],applicant,medical,,,No
i130.pdf,Pt2Line12_Country[0],/Tx,#subform[1],applicant,medical,,,No
i130.pdf,Pt2Line12_PostalCode[0],/Tx,#subform[1],applicant,medical,,,No
i130.pdf,Pt2Line6_CityTownOfBirth[0],/Tx,#subform[1],applicant,personal,,,No
i130.pdf,Pt2Line5a_FamilyName[0],/Tx,#subform[1],applicant,personal,,,No
i130.pdf,Pt2Line5b_GivenName[0],/Tx,#subform[1],applicant,personal,,,No
i130.pdf,Pt2Line5c_MiddleName[0],/Tx,#subform[1],applicant,personal,,,No
i130.pdf,Pt2Line16_NumberofMarriages[0],/Tx,#subform[1],applicant,personal,,,No
i130.pdf,Pt2Line17_Widowed[0],/Btn,#subform[1],applicant,office,selection,Widowed,No
i130.pdf,Pt2Line17_Annulled[0],/Btn,#subform[1],applicant,office,selection,Annulled,No
i130.pdf,Pt2Line17_Separated[0],/Btn,#subform[1],applicant,office,selection,Separated,No
i130.pdf,Pt2Line17_Single[0],/Btn,#subform[1],applicant,office,selection,Single,No
i130.pdf,Pt2Line17_Married[0],/Btn,#subform[1],applicant,office,selection,Married,No
i130.pdf,Pt2Line17_Divorced[0],/Btn,#subform[1],applicant,personal,selection,Divorced,No
i130.pdf,Pt2Line13b_DateTo[0],/Tx,#subform[1],applicant,medical,,,No
i130.pdf,PtLine20a_FamilyName[0],/Tx,#subform[2],applicant,personal,,,No
