Field Name,Field ID,Field Value
Country of Birth,customfield_10190,
Country of Citizenship or Nationality,customfield_10191,
USCIS Online Account Number (if any),customfield_10192,
Passport or Travel Document Number Used at Last Arrival,customfield_10193,
Expiration Date of this Passport or Travel Document (mm/dd/yyyy),customfield_10194,
Country that Issued this Passport or Travel Document,customfield_10195,
Nonimmigrant Visa Number Used During Most Recent Arrival (if any),customfield_10196,
Nonimmigrant Visa Number Used During Most Recent Arrival (if any),customfield_10197,
Date Nonimmigrant Visa Was Issued (mm/dd/yyyy),customfield_10198,
Requested For,customfield_10199,
Status Category,statusCategory,indeterminate
Resolution,resolution,
"I-485: Did a relative file Form I-140 for you (or the principal applicant, if you're a derivative), or own 5% or more of the business that filed it?",customfield_10510,
Date of Last Arrival (mm/dd/yyyy),customfield_10500,
"I-485: Are you filing for adjustment of status with the Executive Office for Immigration Review (EOIR) while in removal, exclusion, rescission, or deportation proceedings?",customfield_10501,
I-485: Receipt Number of Underlying Petition (if any),customfield_10502,
I-485: Priority Date from Underlying Petition (if any),customfield_10503,
I-485: I am filing this Form I-485 as a (select only one box):,customfield_10504,
I-485: Application Type or Filing Category Family-based ,customfield_10506,
"I am applying under the following category (select only one category and one box in the category)). If applying as a derivative, choose the category of the principal applicant.",customfield_10508,
I-485: Application Type or Filing Category Employment-based,customfield_10509,
Last Viewed,lastViewed,2025-05-04T17:43:25.463-0400
Given Name 2 (First Name),customfield_10180,
Middle Name 2,customfield_10181,
Date of Birth (mm/dd/yyyy),customfield_10182,
Have you ever used any other date of birth?,customfield_10183,
Do you have an Alien Registration Number (A-Number)?,customfield_10184,
Sex,customfield_10187,
City or Town of Birth,customfield_10189,
Labels,labels,[]
Σ Original Estimate,aggregatetimeoriginalestimate,
Linked Issues,issuelinks,"[<JIRA IssueLink: id='10006'>, <JIRA IssueLink: id='10007'>]"
Assignee,assignee,
Components,components,[]
Your Current Legal Name (do not provide a nickname),customfield_10174,
Family Name (Last Name),customfield_10175,
Given Name (First Name),customfield_10176,
Middle Name,customfield_10177,
Family Name 2 (Last Name),customfield_10179,
"Employment and Educational History: Number of Employer, Company, or School",customfield_10600,
"Employment and Educational History:  Apt., Ste., Flr. Employer, Company, or School",customfield_10601,
"Employment and Educational History: City or Town of Employer, Company, or School",customfield_10602,
"Employment and Educational History: Address of Employer, Company, or School- State",customfield_10603,
"Employment and Educational History: Zip Code of Employer, Company, or School",customfield_10604,
Sub-tasks,subtasks,"[<JIRA Issue: key='CF-6', id='10396'>, <JIRA Issue: key='CF-7', id='10397'>, <JIRA Issue: key='CF-48', id='10505'>, <JIRA Issue: key='CF-86', id='10708'>]"
Category,customfield_10042,
Reporter,reporter,Claudia Pitts
Progress,progress,<jira.resources.PropertyHolder object at 0x103074850>
Votes,votes,0
Log Work,worklog,<jira.resources.PropertyHolder object at 0x102dd63d0>
Issue Type,issuetype,Client File
Project,project,CF
Design,customfield_10031,
Sentiment,customfield_10033,
Form Type,customfield_10276,
Project overview key,customfield_10034,
Project overview status,customfield_10035,
Goals,customfield_10036,
Open forms,customfield_10027,
Submitted forms,customfield_10028,
Total forms,customfield_10029,
Resolved,resolutiondate,
Watchers,watches,<JIRA Watchers at 4366879440>
Was your last arrival the first time you were physically present in the United States?,customfield_10381,
What is your current immigration status?,customfield_10382,
Sprint,customfield_10020,
Immigration Status on Form I-94,customfield_10383,
"Expiration Date of Current Immigration Status (mm/dd/yyyy) or Type or Print ""D/S"" for Duration of Status",customfield_10384,
Flagged,customfield_10021,
"Have you ever been issued an ""alien crewman"" visa?",customfield_10385,
Target start,customfield_10022,
"Did you last arrive in the United States to join a vessel as a seaman or crewman, or while serving in any capacity aboard a vessel or aircraft?",customfield_10386,
Target end,customfield_10023,
Locked forms,customfield_10026,
Story point estimate,customfield_10016,
