Form,Field Name,Type,Parent,Persona,Domain,Value Type,Value,Screen Label,Tooltip
i130.pdf,PDF417BarCode1[0],/Tx,Page1[11],,personal,,,PDF417BarCode1,PDF417BarCode1
i130.pdf,Pt2Line11_SSN[0],/Tx,#subform[0],applicant,personal,,,"Social Security Number, if any.","Part 2. Information About You (Petitioner). 3. Enter U.S. Social Security Number, if any."
i130.pdf,CheckBox1[0],/Btn,#subform[0],,personal,selection,this box if Form G - 28 is attached,this box if Form G - 28 is attached.,"To be completed by an attorney or accredited representative, if any. Select this box if Form G - 28 is attached."
i130.pdf,VolagNumber[0],/Tx,#subform[0],preparer,office,,,"Volag Number, if any.","To be completed by an attorney or accredited representative, if any. Enter Volag Number, if any."
i130.pdf,AttorneyStateBarNumber[0],/Tx,#subform[0],,personal,,,"Attorney State Bar Number, if applicable.","To be completed by an attorney or accredited representative, if any. Enter Attorney State Bar Number, if applicable."
i130.pdf,USCISOnlineAcctNumber[0],/Tx,#subform[0],,personal,,,"Attorney or Accredited Representative U S C I S Online Account Number, if any.","To be completed by an attorney or accredited representative, if any. Enter Attorney or Accredited Representative U S C I S Online Account Number, if any."
i130.pdf,Pt1Line1_Spouse[0],/Btn,#subform[0],beneficiary,personal,selection,Spouse,Spouse.,Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 1. I am filing this petition for my (Select only one box). Select Spouse.
i130.pdf,Pt1Line1_Siblings[0],/Btn,#subform[0],beneficiary,personal,selection,Siblings,Brother / Sister.,Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 1. I am filing this petition for my (Select only one box). Select Brother / Sister.
i130.pdf,Pt1Line1_Parent[0],/Btn,#subform[0],beneficiary,personal,selection,Parent,Parent.,Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 1. I am filing this petition for my (Select only one box). Select Parent.
i130.pdf,Pt1Line1_Child[0],/Btn,#subform[0],beneficiary,personal,selection,Child,Child.,Part 1. Relationship (You are the Petitioner. Your relative is the Beneficiary). 1. I am filing this petition for my (Select only one box). Select Child.
